post_id,account_id,account_type,follower_count,media_type,content_category,traffic_source,has_call_to_action,post_date,post_hour,day_of_week,likes,comments,shares,saves,reach,impressions,engagement_rate,followers_gained,caption_length,hashtags_count,performance_bucket_label
IG0008115,5,creator,10739,image,Comedy,Explore,1,04-09-2025,5,Thursday,264,11,16,34,6087,9697,3.35,672,109,8,medium
IG0008116,7,creator,3551,carousel,Food,External,0,12-01-2025,21,Sunday,451,12,22,81,14159,19100,2.96,867,121,4,medium
IG0008117,20,creator,31095,image,Lifestyle,Home Feed,0,06-07-2025,4,Sunday,287,7,13,43,3973,6018,5.82,935,100,13,viral
IG0008118,1,creator,9461,carousel,Fitness,Hashtags,1,25-01-2025,9,Saturday,47,1,0,7,1621,2242,2.45,501,104,7,medium
IG0008119,14,creator,3083,carousel,Travel,Reels Feed,0,04-12-2024,22,Wednesday,91,4,2,12,4664,7406,1.47,797,124,7,low
IG0008120,4,creator,4972,image,Fashion,Profile,0,23-12-2024,10,Monday,399,11,26,62,6418,8281,6.01,615,120,8,viral
IG0008121,17,creator,15923,reel,Fashion,Home Feed,0,27-10-2025,13,Monday,185,2,9,22,5369,6375,3.42,404,130,16,medium
IG0008122,14,creator,3083,reel,Photography,Explore,0,14-04-2025,22,Monday,576,6,27,99,5863,7014,10.09,927,138,6,medium
IG0008123,16,creator,9696,image,Food,Home Feed,1,05-04-2025,15,Saturday,124,9,6,15,7876,12024,1.28,597,121,13,low
IG0008124,14,creator,3083,image,Fitness,Home Feed,0,11-09-2025,6,Thursday,118,0,8,22,2511,3724,3.97,2,125,6,medium
IG0008125,16,creator,9696,image,Travel,Explore,1,19-07-2025,21,Saturday,148,2,5,31,5429,7062,2.63,894,124,9,low
IG0008126,20,creator,31095,image,Fashion,Explore,0,25-04-2025,17,Friday,193,9,11,32,5408,6871,3.57,381,113,8,medium
IG0008127,8,brand,15986,reel,Fitness,Explore,0,26-01-2025,7,Sunday,267,6,19,41,4346,5815,5.73,802,115,5,viral
IG0008128,3,brand,10018,image,Technology,Reels Feed,0,18-12-2024,13,Wednesday,651,21,32,86,12146,15263,5.18,658,111,5,high
IG0008129,19,brand,3447,reel,Photography,Profile,1,24-05-2025,9,Saturday,117,9,6,16,4093,5872,2.52,166,131,10,low
IG0008130,1,creator,9461,image,Lifestyle,Profile,1,24-01-2025,13,Friday,137,5,7,21,3992,5450,3.12,981,139,8,medium
IG0008131,2,creator,22291,reel,Lifestyle,Profile,1,21-05-2025,19,Wednesday,383,6,23,43,10860,13192,3.45,934,97,15,medium
IG0008132,15,creator,8167,carousel,Comedy,External,1,11-09-2025,21,Thursday,116,3,3,12,1745,2306,5.81,197,120,6,viral
IG0008133,10,creator,4542,image,Travel,Explore,0,14-12-2024,12,Saturday,144,6,8,27,2482,3742,4.94,25,116,9,high
IG0008134,18,creator,7486,reel,Fitness,Profile,1,24-01-2025,22,Friday,41,4,2,8,1720,2683,2.05,268,130,9,low
IG0008135,14,creator,3083,image,Music,External,1,25-07-2025,16,Friday,362,3,20,60,9788,12448,3.57,390,126,8,medium
IG0008136,17,brand,15923,image,Fashion,Profile,1,26-12-2024,5,Thursday,213,4,13,32,3118,3817,6.86,223,111,12,viral
IG0008137,13,brand,5824,carousel,Beauty,Hashtags,0,05-08-2025,14,Tuesday,440,15,14,62,17549,27730,1.91,781,128,11,low
IG0008138,1,creator,9461,carousel,Beauty,Reels Feed,0,08-08-2025,7,Friday,165,9,6,32,3583,4147,5.11,769,124,12,high
IG0008139,5,creator,10739,carousel,Lifestyle,External,0,24-06-2025,4,Tuesday,77,7,0,8,4183,5623,1.64,993,126,5,low
IG0008140,13,creator,5824,image,Music,Hashtags,1,29-03-2025,7,Saturday,154,3,8,19,3230,4400,4.18,294,122,7,medium
IG0008141,14,creator,3083,carousel,Beauty,External,0,01-04-2025,21,Tuesday,271,9,14,47,4136,5916,5.76,315,119,4,high
IG0008142,3,creator,10018,carousel,Food,Hashtags,0,23-05-2025,22,Friday,98,4,5,12,1915,2766,4.3,415,128,6,high
IG0008143,15,creator,8167,image,Food,Home Feed,0,04-12-2024,8,Wednesday,881,21,44,152,13276,17907,6.13,734,121,6,viral
IG0008144,19,creator,3447,carousel,Travel,Reels Feed,0,06-12-2024,6,Friday,276,9,17,41,4483,6279,5.46,977,126,8,high
IG0008145,17,creator,15923,image,Music,Home Feed,1,25-02-2025,17,Tuesday,12,1,0,4,1143,1559,1.09,715,110,9,low
IG0008146,3,creator,10018,carousel,Food,Explore,0,16-04-2025,13,Wednesday,207,5,17,34,4005,5905,4.45,791,126,9,high
IG0008147,16,creator,9696,carousel,Food,Hashtags,1,13-05-2025,7,Tuesday,130,2,6,14,1662,1947,7.81,983,108,7,viral
IG0008148,14,brand,3083,carousel,Lifestyle,Explore,0,25-02-2025,0,Tuesday,567,18,33,92,13743,16608,4.28,160,121,5,high
IG0008149,12,brand,13798,image,Beauty,Profile,0,20-07-2025,16,Sunday,207,7,18,43,2918,4419,6.22,505,145,6,viral
IG0008150,12,creator,13798,reel,Travel,Profile,0,02-04-2025,5,Wednesday,185,10,11,19,4988,7384,3.05,671,111,8,medium
IG0008151,11,creator,9044,image,Fitness,Home Feed,0,24-11-2024,13,Sunday,750,24,46,110,13038,19562,4.75,196,118,8,high
IG0008152,17,creator,15923,image,Technology,Profile,1,19-03-2025,23,Wednesday,459,13,18,77,12206,16400,3.46,978,103,7,medium
IG0008153,8,brand,15986,carousel,Fashion,Profile,0,09-04-2025,16,Wednesday,48,1,4,8,678,1059,5.76,319,125,5,high
IG0008154,17,creator,15923,reel,Fashion,Reels Feed,1,17-01-2025,16,Friday,63,3,0,0,2466,3340,1.98,383,135,5,low
IG0008155,20,creator,31095,carousel,Photography,Explore,1,24-08-2025,11,Sunday,232,6,11,34,3544,4766,5.94,55,111,2,viral
IG0008156,11,creator,9044,image,Technology,Home Feed,0,20-10-2025,20,Monday,75,3,8,3,1354,1796,4.96,791,130,5,high
IG0008157,2,creator,22291,carousel,Technology,Home Feed,1,15-08-2025,15,Friday,97,3,10,9,2086,3059,3.89,284,115,8,high
IG0008158,10,creator,4542,reel,Fashion,Reels Feed,0,27-09-2025,2,Saturday,72,3,5,5,4754,5958,1.43,596,119,6,low
IG0008159,10,creator,4542,image,Fashion,Profile,1,25-01-2025,16,Saturday,98,7,7,15,3155,5011,2.53,415,130,9,medium
IG0008160,11,creator,9044,image,Fitness,Reels Feed,0,16-06-2025,1,Monday,115,5,6,20,7303,10143,1.44,481,107,7,low
IG0008161,6,brand,10034,carousel,Music,Explore,0,23-10-2025,12,Thursday,431,10,24,52,8413,9366,5.52,875,105,7,high
IG0008162,4,creator,4972,image,Music,External,1,13-09-2025,13,Saturday,94,1,6,19,4665,5612,2.14,820,100,7,low
IG0008163,12,creator,13798,image,Fitness,Reels Feed,1,19-01-2025,3,Sunday,44,2,2,7,1396,2165,2.54,142,127,5,medium
IG0008164,11,brand,9044,image,Beauty,Explore,1,25-05-2025,23,Sunday,119,2,4,19,6336,8774,1.64,418,112,6,low
IG0008165,13,creator,5824,carousel,Technology,Reels Feed,0,23-07-2025,5,Wednesday,477,24,18,87,6307,7355,8.24,658,103,11,medium
IG0008166,5,creator,10739,image,Comedy,Home Feed,1,20-02-2025,19,Thursday,164,4,2,25,5874,9345,2.09,348,117,7,low
IG0008167,6,creator,10034,image,Technology,Reels Feed,0,15-09-2025,22,Monday,125,1,4,15,5029,6835,2.12,565,99,8,low
IG0008168,1,brand,9461,reel,Photography,Hashtags,0,30-08-2025,8,Saturday,145,3,7,27,2559,3461,5.26,76,116,10,high
IG0008169,6,creator,10034,carousel,Fashion,Profile,0,01-02-2025,13,Saturday,626,15,40,78,9650,10931,6.94,754,127,9,viral
IG0008170,18,creator,7486,reel,Technology,External,1,25-10-2025,21,Saturday,139,3,7,12,1952,3024,5.32,978,132,12,high
IG0008171,9,creator,6916,carousel,Fashion,Reels Feed,0,19-02-2025,16,Wednesday,152,2,6,25,5315,7795,2.37,512,116,7,low
IG0008172,15,brand,8167,image,Technology,Profile,1,26-06-2025,7,Thursday,136,5,4,19,3713,4812,3.41,817,112,5,medium
IG0008173,8,creator,15986,carousel,Photography,External,0,28-07-2025,18,Monday,126,2,3,26,2465,2744,5.72,408,111,4,high
IG0008174,19,creator,3447,image,Beauty,Home Feed,1,21-08-2025,20,Thursday,408,10,19,57,8834,9948,4.97,726,103,12,high
IG0008175,16,creator,9696,image,Comedy,Explore,1,09-06-2025,1,Monday,73,5,9,10,1909,2483,3.91,35,103,8,medium
IG0008176,6,creator,10034,reel,Food,Profile,0,24-07-2025,16,Thursday,291,8,15,53,6549,7497,4.9,155,129,11,high
IG0008177,6,creator,10034,reel,Fitness,Explore,1,03-06-2025,6,Tuesday,153,1,9,17,4314,5081,3.54,189,114,12,medium
IG0008178,3,brand,10018,image,Fitness,Profile,0,16-01-2025,2,Thursday,61,1,6,7,4951,6260,1.2,955,106,7,low
IG0008179,10,creator,4542,carousel,Comedy,Profile,0,27-05-2025,3,Tuesday,967,26,45,136,16183,20390,5.76,992,134,11,high
IG0008180,1,creator,9461,reel,Technology,Reels Feed,1,06-10-2025,17,Monday,62,1,3,7,2923,3325,2.2,75,111,8,low
IG0008181,14,creator,3083,carousel,Food,Home Feed,0,06-04-2025,13,Sunday,38,1,1,4,3072,4620,0.95,724,106,3,low
IG0008182,4,creator,4972,reel,Photography,Reels Feed,0,31-07-2025,19,Thursday,884,27,60,135,18703,22524,4.91,24,106,7,high
IG0008183,12,creator,13798,carousel,Music,Reels Feed,0,14-03-2025,12,Friday,197,7,7,24,3014,3522,6.67,701,126,9,viral
IG0008184,6,creator,10034,carousel,Technology,Home Feed,1,13-01-2025,16,Monday,361,6,21,48,8858,12777,3.41,501,116,5,medium
IG0008185,11,creator,9044,carousel,Beauty,Hashtags,1,20-10-2025,11,Monday,89,3,12,21,4165,5886,2.12,13,140,5,low
IG0008186,12,creator,13798,image,Fashion,External,1,30-04-2025,6,Wednesday,131,0,11,20,4011,5546,2.92,351,119,7,medium
IG0008187,10,creator,4542,carousel,Travel,Hashtags,0,24-10-2025,2,Friday,292,0,15,48,9496,11426,3.11,298,117,9,medium
IG0008188,18,creator,7486,carousel,Technology,Home Feed,0,18-09-2025,4,Thursday,184,6,6,27,2329,2631,8.48,404,120,6,viral
IG0008189,7,brand,3551,carousel,Travel,Profile,0,22-06-2025,20,Sunday,194,6,11,28,5471,6915,3.46,546,111,7,medium
IG0008190,7,creator,3551,image,Technology,Reels Feed,0,22-07-2025,19,Tuesday,200,0,10,27,2802,3555,6.67,378,113,8,viral
IG0008191,11,creator,9044,carousel,Comedy,Home Feed,1,11-03-2025,0,Tuesday,171,1,6,30,9443,10508,1.98,756,135,11,low
IG0008192,4,creator,4972,carousel,Travel,Home Feed,0,03-10-2025,13,Friday,320,10,21,63,5714,7932,5.22,301,120,7,high
IG0008193,20,brand,31095,reel,Technology,Explore,0,24-01-2025,8,Friday,1069,30,44,0,18338,25006,4.57,425,132,6,high
IG0008194,1,creator,9461,image,Fitness,External,0,09-05-2025,20,Friday,386,9,17,64,8426,13384,3.56,627,133,4,medium
IG0008195,13,brand,5824,reel,Travel,Reels Feed,0,09-03-2025,14,Sunday,129,8,8,21,1635,2378,6.98,926,108,5,viral
IG0008196,18,creator,7486,image,Technology,Explore,0,23-09-2025,1,Tuesday,116,2,9,14,9268,10810,1.3,697,111,9,low
IG0008197,9,creator,6916,image,Music,Explore,1,08-09-2025,17,Monday,243,9,17,42,3076,4837,6.43,230,115,6,viral
IG0008198,9,creator,6916,image,Fashion,Hashtags,0,20-03-2025,3,Thursday,766,26,42,120,11029,14338,6.65,118,126,5,viral
IG0008199,9,brand,6916,image,Music,Home Feed,0,20-02-2025,1,Thursday,303,0,11,44,4801,7435,4.82,726,122,5,high
IG0008200,10,creator,4542,image,Food,External,1,08-10-2025,12,Wednesday,110,4,11,14,2152,3198,4.35,966,107,1,medium
IG0008201,2,creator,22291,carousel,Technology,Reels Feed,1,10-01-2025,20,Friday,336,11,10,39,6718,9090,4.36,532,131,4,medium
IG0008202,6,creator,10034,image,Lifestyle,Home Feed,0,21-09-2025,17,Sunday,33,0,1,5,986,1426,2.73,441,127,4,low
IG0008203,15,brand,8167,image,Beauty,Explore,0,29-09-2025,19,Monday,715,16,34,94,15554,19357,4.44,158,122,9,high
IG0008204,3,creator,10018,carousel,Music,External,0,19-05-2025,3,Monday,1035,42,54,168,7987,11226,11.57,83,137,11,medium
IG0008205,11,creator,9044,carousel,Travel,Profile,1,29-01-2025,2,Wednesday,44,1,1,0,831,1093,4.21,831,115,5,high
IG0008206,6,brand,10034,carousel,Comedy,External,0,29-05-2025,6,Thursday,396,17,29,65,13354,17276,2.93,362,129,9,medium
IG0008207,3,creator,10018,carousel,Beauty,Explore,0,04-04-2025,1,Friday,481,15,16,65,10722,15215,3.79,731,118,6,medium
IG0008208,11,brand,9044,carousel,Lifestyle,Home Feed,0,26-12-2024,13,Thursday,880,35,52,146,14992,17633,6.31,974,129,8,viral
IG0008209,15,creator,8167,image,Photography,Explore,0,29-08-2025,4,Friday,306,4,14,44,3971,6256,5.88,940,119,5,viral
IG0008210,13,brand,5824,carousel,Technology,External,1,03-12-2024,1,Tuesday,58,1,1,13,1808,2889,2.53,802,105,8,medium
IG0008211,20,brand,31095,carousel,Comedy,Home Feed,0,21-11-2024,8,Thursday,660,24,30,112,9564,14827,5.57,833,101,5,high
IG0008212,10,brand,4542,carousel,Technology,Home Feed,0,10-09-2025,15,Wednesday,0,0,5,11,6942,9353,0.17,512,119,6,low
IG0008213,6,creator,10034,carousel,Food,Hashtags,0,18-02-2025,21,Tuesday,116,5,2,13,6198,9108,1.49,140,118,5,low
IG0008214,15,brand,8167,carousel,Lifestyle,Hashtags,0,05-08-2025,7,Tuesday,95,3,7,11,4918,6487,1.79,822,102,10,low
IG0008215,18,creator,7486,image,Technology,Reels Feed,1,15-07-2025,5,Tuesday,313,6,11,38,6979,9892,3.72,250,122,7,medium
IG0008216,18,creator,7486,image,Travel,External,1,31-05-2025,2,Saturday,36,3,1,4,669,900,4.89,36,122,11,high
IG0008217,7,creator,3551,carousel,Food,Explore,0,04-06-2025,6,Wednesday,93,1,3,8,5292,8433,1.25,423,119,1,low
IG0008218,15,creator,8167,image,Fitness,Explore,1,15-07-2025,17,Tuesday,314,9,18,51,12124,16139,2.43,73,112,7,low
IG0008219,18,brand,7486,carousel,Photography,Hashtags,0,04-05-2025,15,Sunday,290,11,19,50,7368,8893,4.16,64,129,6,medium
IG0008220,18,creator,7486,reel,Lifestyle,Reels Feed,0,22-02-2025,3,Saturday,589,20,25,77,10531,14807,4.8,877,115,5,high
IG0008221,20,brand,31095,image,Fashion,Reels Feed,0,11-07-2025,20,Friday,58,3,2,13,3752,5209,1.46,554,107,13,low
IG0008222,9,creator,6916,reel,Comedy,External,0,06-05-2025,3,Tuesday,161,7,8,27,9422,10559,1.92,849,110,10,low
IG0008223,2,brand,22291,carousel,Music,Hashtags,0,15-07-2025,15,Tuesday,56,1,2,8,2386,2888,2.32,624,123,8,low
IG0008224,8,brand,15986,carousel,Technology,Reels Feed,0,13-10-2025,17,Monday,999,24,72,135,5839,7860,15.65,339,122,11,high
IG0008225,20,brand,31095,image,Comedy,Profile,1,14-06-2025,1,Saturday,456,21,16,72,7760,9132,6.19,991,114,9,viral
IG0008226,2,creator,22291,image,Comedy,Reels Feed,0,20-03-2025,21,Thursday,577,17,29,94,15615,20634,3.47,458,132,10,medium
IG0008227,11,creator,9044,image,Fashion,Home Feed,1,19-05-2025,11,Monday,168,5,11,32,12729,18164,1.19,480,110,6,low
IG0008228,7,creator,3551,carousel,Fashion,Home Feed,0,30-09-2025,8,Tuesday,432,20,28,66,8104,9015,6.06,837,112,5,viral
IG0008229,6,creator,10034,carousel,Food,External,0,20-04-2025,6,Sunday,770,27,31,111,12967,15052,6.24,129,139,13,viral
IG0008230,10,creator,4542,image,Lifestyle,Hashtags,1,06-08-2025,7,Wednesday,329,5,14,43,5217,6781,5.77,824,143,9,high
IG0008231,5,creator,10739,carousel,Travel,Hashtags,0,19-01-2025,5,Sunday,334,9,14,59,5411,8367,4.97,480,125,10,high
IG0008232,11,creator,9044,image,Photography,Reels Feed,0,21-09-2025,11,Sunday,753,16,40,103,11166,12822,7.11,854,111,7,viral
IG0008233,1,creator,9461,carousel,Fashion,Hashtags,0,24-11-2024,7,Sunday,235,6,15,26,3782,4236,6.66,66,142,11,viral
IG0008234,2,creator,22291,reel,Fashion,Reels Feed,1,11-06-2025,9,Wednesday,352,11,17,54,7146,9679,4.48,953,121,9,high
IG0008235,1,creator,9461,image,Music,Explore,0,08-06-2025,3,Sunday,93,2,5,17,3143,4750,2.46,357,110,13,low
IG0008236,19,creator,3447,image,Fitness,Home Feed,0,03-03-2025,9,Monday,407,13,16,60,7005,10816,4.59,813,141,9,high
IG0008237,2,creator,22291,reel,Fashion,External,0,14-11-2025,6,Friday,0,9,23,40,9560,14424,0.5,610,138,16,low
IG0008238,20,brand,31095,image,Fitness,Hashtags,0,12-03-2025,18,Wednesday,48,1,0,5,2541,2854,1.89,702,117,11,low
IG0008239,4,creator,4972,carousel,Food,Hashtags,1,27-03-2025,2,Thursday,289,11,19,54,3667,4368,8.54,412,118,8,viral
IG0008240,12,creator,13798,image,Travel,Hashtags,0,16-11-2025,11,Sunday,161,5,7,27,5964,8574,2.33,469,121,10,medium
IG0008241,20,creator,31095,reel,Comedy,Reels Feed,0,06-10-2025,18,Monday,44,2,2,11,1384,1799,3.28,328,115,8,medium
IG0008242,18,brand,7486,carousel,Fashion,Hashtags,0,25-02-2025,9,Tuesday,158,4,10,22,4189,6159,3.15,985,119,9,medium
IG0008243,1,creator,9461,image,Technology,Home Feed,0,29-01-2025,20,Wednesday,118,3,9,21,3953,4733,3.19,215,132,6,medium
IG0008244,1,creator,9461,reel,Fitness,Hashtags,1,22-11-2024,5,Friday,99,5,2,10,4739,5672,2.05,968,117,7,low
IG0008245,14,creator,3083,image,Music,Explore,0,05-09-2025,19,Friday,259,7,19,34,12560,17624,1.81,863,105,9,low
IG0008246,4,creator,4972,carousel,Photography,Explore,1,25-09-2025,14,Thursday,131,5,10,13,2204,3447,4.61,242,134,9,high
IG0008247,5,creator,10739,image,Music,External,0,10-08-2025,20,Sunday,590,20,32,86,17317,20107,3.62,612,107,8,medium
IG0008248,11,brand,9044,carousel,Fashion,Hashtags,0,10-07-2025,18,Thursday,651,12,33,132,2928,4136,20.02,931,121,8,viral
IG0008249,13,creator,5824,carousel,Lifestyle,Explore,1,05-02-2025,10,Wednesday,143,2,6,21,3551,4102,4.19,388,125,5,medium
IG0008250,16,creator,9696,carousel,Comedy,Explore,0,06-11-2025,7,Thursday,60,1,1,8,951,1262,5.55,278,127,6,high
IG0008251,13,creator,5824,carousel,Travel,Profile,0,23-08-2025,9,Saturday,102,2,3,21,2365,2629,4.87,159,135,4,high
IG0008252,2,creator,22291,image,Technology,Home Feed,0,21-10-2025,21,Tuesday,589,18,28,62,7970,12503,5.57,640,113,12,viral
IG0008253,16,brand,9696,reel,Lifestyle,Reels Feed,1,08-06-2025,13,Sunday,1158,28,59,184,14892,18180,7.86,746,145,6,viral
IG0008254,6,brand,10034,reel,Music,Hashtags,0,28-05-2025,19,Wednesday,202,12,10,39,7951,11766,2.24,119,114,6,medium
IG0008255,14,brand,3083,reel,Fitness,Explore,1,03-02-2025,13,Monday,234,7,13,39,3458,4166,7.03,216,130,5,viral
IG0008256,1,creator,9461,image,Fitness,Hashtags,0,03-05-2025,14,Saturday,86,3,6,13,4689,5259,2.05,710,133,3,low
IG0008257,17,creator,15923,carousel,Lifestyle,Profile,0,09-03-2025,11,Sunday,73,6,5,10,2314,3476,2.7,656,124,4,medium
IG0008258,11,brand,9044,image,Fitness,Profile,0,11-08-2025,16,Monday,243,8,11,43,6130,8982,3.4,738,131,7,medium
IG0008259,19,creator,3447,image,Music,Home Feed,1,03-09-2025,9,Wednesday,523,11,25,68,7456,11761,5.33,800,106,5,high
IG0008260,3,creator,10018,image,Lifestyle,Hashtags,0,13-12-2024,11,Friday,306,9,16,46,5906,8523,4.42,640,127,7,high
IG0008261,11,creator,9044,image,Music,Home Feed,1,28-07-2025,18,Monday,0,2,7,20,1997,2799,1.04,871,118,8,viral
IG0008262,5,creator,10739,reel,Technology,Hashtags,0,28-03-2025,7,Friday,254,5,11,33,4386,6791,4.46,788,129,7,high
IG0008263,17,creator,15923,carousel,Comedy,Hashtags,0,10-05-2025,15,Saturday,112,4,3,16,2309,3374,4,903,113,9,medium
IG0008264,7,creator,3551,carousel,Photography,Explore,1,20-07-2025,17,Sunday,409,12,17,55,6773,7607,6.48,22,118,6,viral
IG0008265,10,creator,4542,reel,Technology,Home Feed,1,19-11-2024,19,Tuesday,74,3,4,11,3423,5262,1.75,334,130,12,low
IG0008266,11,brand,9044,reel,Technology,Reels Feed,0,21-04-2025,9,Monday,257,12,17,43,5741,7491,4.39,498,130,8,high
IG0008267,3,brand,10018,image,Fitness,Hashtags,0,09-01-2025,20,Thursday,271,6,29,42,3742,4602,7.56,646,124,10,viral
IG0008268,20,creator,31095,reel,Fashion,Hashtags,0,14-02-2025,10,Friday,164,5,5,18,3226,4638,4.14,502,118,3,high
IG0008269,10,brand,4542,image,Beauty,Profile,0,21-11-2024,5,Thursday,116,5,8,19,4634,5673,2.61,547,120,6,low
IG0008270,10,creator,4542,image,Fitness,Reels Feed,0,29-12-2024,17,Sunday,498,13,27,68,6767,9745,6.22,86,128,10,viral
IG0008271,14,brand,3083,carousel,Fashion,Profile,0,31-05-2025,12,Saturday,232,9,10,0,3012,3484,7.2,957,130,12,viral
IG0008272,12,creator,13798,carousel,Music,Profile,1,25-10-2025,10,Saturday,97,4,7,12,1540,2221,5.4,914,122,10,high
IG0008273,15,creator,8167,reel,Beauty,Profile,1,16-02-2025,13,Sunday,197,3,8,0,3181,4516,4.61,505,141,11,high
IG0008274,10,creator,4542,reel,Fitness,Explore,0,11-08-2025,13,Monday,382,11,15,49,4810,5807,7.87,445,115,3,viral
IG0008275,10,creator,4542,image,Beauty,Profile,0,03-05-2025,22,Saturday,85,3,1,16,2323,3489,3.01,785,141,6,medium
IG0008276,19,creator,3447,carousel,Beauty,Explore,0,28-05-2025,3,Wednesday,383,8,12,55,21156,31299,1.46,536,106,7,low
IG0008277,1,brand,9461,carousel,Food,Explore,0,15-07-2025,9,Tuesday,237,7,15,38,3881,5073,5.85,681,108,9,viral
IG0008278,10,creator,4542,image,Comedy,Profile,0,29-08-2025,19,Friday,387,9,15,66,8200,12985,3.67,450,124,8,medium
IG0008279,2,creator,22291,image,Food,Reels Feed,1,05-05-2025,17,Monday,168,3,7,18,4335,5444,3.6,1,118,4,medium
IG0008280,17,creator,15923,carousel,Fashion,Profile,0,08-11-2025,8,Saturday,170,3,12,21,7012,9627,2.14,896,131,9,low
IG0008281,7,creator,3551,image,Travel,Hashtags,1,19-11-2024,20,Tuesday,309,8,17,39,10108,15390,2.42,113,122,12,medium
IG0008282,7,creator,3551,image,Lifestyle,Explore,0,08-05-2025,12,Thursday,2835,99,141,459,21711,29470,11.99,287,119,2,medium
IG0008283,20,creator,31095,carousel,Photography,External,0,25-09-2025,22,Thursday,899,26,39,140,13409,16725,6.6,477,123,13,viral
IG0008284,9,creator,6916,carousel,Travel,Profile,0,22-01-2025,18,Wednesday,218,9,12,35,3604,5056,5.42,422,115,7,high
IG0008285,2,creator,22291,carousel,Lifestyle,Home Feed,0,28-04-2025,7,Monday,144,2,11,17,4917,5525,3.15,898,143,12,medium
IG0008286,14,creator,3083,carousel,Fashion,Home Feed,0,28-12-2024,10,Saturday,48,1,3,7,2902,3646,1.62,111,120,11,low
IG0008287,17,creator,15923,image,Fashion,Explore,0,06-01-2025,22,Monday,352,7,20,46,5380,7981,5.33,191,138,4,high
IG0008288,1,creator,9461,carousel,Music,Hashtags,0,02-07-2025,7,Wednesday,150,5,9,22,2286,3059,6.08,495,97,8,viral
IG0008289,9,brand,6916,reel,Photography,Explore,0,12-08-2025,17,Tuesday,117,5,6,12,5537,8794,1.59,357,137,7,low
IG0008290,20,creator,31095,carousel,Comedy,Profile,0,24-09-2025,23,Wednesday,66,2,5,1,2816,3178,2.33,965,122,10,low
IG0008291,19,brand,3447,reel,Beauty,Explore,0,28-10-2025,16,Tuesday,293,7,20,43,4648,7399,4.91,910,127,11,high
IG0008292,4,brand,4972,carousel,Food,Profile,0,26-02-2025,9,Wednesday,42,1,2,8,2935,4347,1.22,499,110,6,low
IG0008293,8,creator,15986,carousel,Food,Reels Feed,1,08-11-2025,21,Saturday,224,3,2,43,3301,4903,5.55,357,114,6,high
IG0008294,13,creator,5824,reel,Fashion,Reels Feed,0,30-05-2025,21,Friday,132,1,1,15,5492,7577,1.97,798,112,9,low
IG0008295,4,creator,4972,carousel,Food,External,0,10-12-2024,9,Tuesday,818,22,41,115,12160,16939,5.88,603,108,11,high
IG0008296,9,creator,6916,reel,Fashion,Profile,0,25-05-2025,22,Sunday,177,7,7,25,6966,9388,2.3,702,118,6,medium
IG0008297,9,brand,6916,reel,Beauty,External,1,05-12-2024,3,Thursday,26,0,1,5,2269,3613,0.89,159,120,10,low
IG0008298,18,brand,7486,image,Fashion,Home Feed,0,07-11-2025,7,Friday,76,1,4,15,1698,2322,4.13,497,105,11,medium
IG0008299,12,brand,13798,image,Music,Reels Feed,0,15-06-2025,1,Sunday,260,9,9,38,4942,6000,5.27,435,110,6,high
IG0008300,10,creator,4542,image,Comedy,Home Feed,0,17-07-2025,13,Thursday,180,6,10,30,4566,6936,3.26,95,111,4,medium
IG0008301,11,creator,9044,carousel,Technology,Reels Feed,0,22-05-2025,7,Thursday,251,8,11,35,3928,4530,6.73,127,122,7,viral
IG0008302,7,brand,3551,reel,Fitness,Hashtags,1,28-05-2025,22,Wednesday,908,0,51,137,13118,15252,7.19,808,110,7,viral
IG0008303,9,creator,6916,image,Comedy,Hashtags,1,30-06-2025,21,Monday,334,8,19,60,12072,13315,3.16,742,130,9,medium
IG0008304,6,creator,10034,reel,Comedy,Home Feed,0,01-06-2025,13,Sunday,367,7,17,41,4696,6267,6.89,675,112,11,viral
IG0008305,19,brand,3447,reel,Travel,Profile,1,09-10-2025,7,Thursday,141,6,10,25,5403,8484,2.15,559,115,6,low
IG0008306,16,brand,9696,carousel,Photography,Hashtags,1,07-12-2024,17,Saturday,219,5,12,39,3210,4823,5.7,567,129,13,high
IG0008307,15,creator,8167,image,Photography,Hashtags,1,06-08-2025,7,Wednesday,230,10,4,26,4057,5978,4.52,263,112,6,high
IG0008308,7,creator,3551,reel,Lifestyle,Reels Feed,0,03-11-2025,9,Monday,59,3,2,7,2361,3672,1.93,812,123,7,low
IG0008309,16,creator,9696,image,Fitness,Explore,0,03-04-2025,3,Thursday,390,15,20,52,5483,7985,5.97,324,122,7,viral
IG0008310,5,creator,10739,image,Beauty,External,0,08-11-2025,10,Saturday,291,3,18,0,6088,9409,3.32,224,118,7,medium
IG0008311,16,creator,9696,image,Technology,External,0,02-09-2025,13,Tuesday,163,6,9,27,11374,14514,1.41,321,125,16,low
IG0008312,1,creator,9461,reel,Technology,Profile,0,01-08-2025,22,Friday,98,2,2,12,1572,1847,6.17,885,115,5,viral
IG0008313,19,creator,3447,reel,Photography,Hashtags,0,18-07-2025,15,Friday,78,1,2,12,1941,2576,3.61,846,117,15,medium
IG0008314,5,creator,10739,image,Comedy,Reels Feed,0,05-05-2025,9,Monday,257,6,13,32,5329,8329,3.7,825,118,11,medium
IG0008315,7,creator,3551,image,Music,Profile,1,16-03-2025,14,Sunday,192,3,10,33,2836,4517,5.27,41,113,6,high
